depth,learning_rate,l2_leaf_reg,mean_accuracy,mean_macro_f1,std_macro_f1,avg_best_iteration
7,0.03,3,0.4203155949223199,0.4155054973356814,0.007205264825150941,385.0
6,0.05,7,0.42033192614619885,0.41537525930687025,0.007356557324379793,261.0
6,0.03,3,0.4203557033643386,0.415090805277529,0.007044146055064112,278.6666666666667
7,0.03,7,0.4201002682643744,0.4149691537613878,0.0066549676611195215,252.0
6,0.05,3,0.4199903384086481,0.41477910382007716,0.007049557512907285,168.0
6,0.03,7,0.4200593622903936,0.4145112490376237,0.007682121231152319,257.3333333333333
5,0.05,7,0.41974043813363937,0.41402829804429925,0.007908035116166558,186.66666666666666
5,0.05,3,0.419602707682406,0.4138183402207208,0.007373370943010689,145.66666666666666
7,0.05,7,0.4175595241917864,0.4132039165623438,0.010500623936748013,168.0
7,0.05,3,0.41717103788458676,0.41257647226376504,0.009642031983943169,126.0
5,0.03,7,0.4174678072755407,0.4110274634720923,0.01189319892113226,223.0
5,0.03,3,0.4173886080882034,0.41100264123580005,0.011686473791141115,235.66666666666666
